ID,Category,Name,Size,Finish,SingleOrDoubleSided,UnitsPerProduct,PriceType,PricePerSqm,FixedPrice,MinPrice,DesignFee,PolesAvailable,PolePrice,InstallationFee
1,Paper Printing,Business Cards 300GSM ,Standard 90x55mm,Semi Gloss,Single sided ,100,fixed,,R120.00,,0,no,,0
2,Paper Printing,Business Cards 300GSM ,Standard 90x55mm,Semi Gloss,Single sided ,250,fixed,,R230.00,,0,no,,0
3,Paper Printing,Business Cards 300GSM ,Standard 90x55mm,Semi Gloss,Single sided ,500,fixed,,R350.00,,0,no,,0
4,Paper Printing,Business Cards 300GSM ,Standard 90x55mm,Semi Gloss,Single sided ,1000,fixed,,R680.00,,0,no,,0
5,Paper Printing,Business Cards 300GSM ,Standard 90x55mm,Semi Gloss,Double Sided ,100,fixed,,R180.00,,0,no,,0
6,Paper Printing,Business Cards 300GSM ,Standard 90x55mm,Semi Gloss,Double Sided ,250,fixed,,R320.00,,0,no,,0
7,Paper Printing,Business Cards 300GSM ,Standard 90x55mm,Semi Gloss,Double Sided ,500,fixed,,R525.00,,0,no,,0
8,Paper Printing,Business Cards 300GSM ,Standard 90x55mm,Semi Gloss,Double Sided ,1000,fixed,,"R1,000.00",,0,no,,0
9,Paper Printing,Business Cards 300GSM ,Standard 90x55mm,Laminated,Single sided ,100,fixed,,R170.00,,0,no,,0
10,Paper Printing,Business Cards 300GSM ,Standard 90x55mm,Laminated,Single sided ,250,fixed,,R355.00,,0,no,,0
11,Paper Printing,Business Cards 300GSM ,Standard 90x55mm,Laminated,Single sided ,500,fixed,,R600.00,,0,no,,0
12,Paper Printing,Business Cards 300GSM ,Standard 90x55mm,Laminated,Single sided ,1000,fixed,,"R1,180.00",,0,no,,0
13,Paper Printing,Business Cards 300GSM ,Standard 90x55mm,Laminated,Double Sided ,100,fixed,,R280.00,,0,no,,0
14,Paper Printing,Business Cards 300GSM ,Standard 90x55mm,Laminated,Double Sided ,250,fixed,,R480.00,,0,no,,0
15,Paper Printing,Business Cards 300GSM ,Standard 90x55mm,Laminated,Double Sided ,500,fixed,,R775.00,,0,no,,0
16,Paper Printing,Business Cards 300GSM ,Standard 90x55mm,Laminated,Double Sided ,1000,fixed,,"R1,450.00",,0,no,,0
17,Paper Printing,Flyers - Express Print ,A6 (105 × 148) mm,128gsm gloss,Single sided ,100,fixed,,R322.00,,0,no,,0
18,Paper Printing,Flyers - Express Print ,A6 (105 × 148) mm,128gsm gloss,Single sided ,250,fixed,,R395.00,,0,no,,0
19,Paper Printing,Flyers - Express Print ,A6 (105 × 148) mm,128gsm gloss,Single sided ,500,fixed,,R488.00,,0,no,,0
20,Paper Printing,Flyers - Express Print ,A6 (105 × 148) mm,128gsm gloss,Single sided ,1000,fixed,,R696.00,,0,no,,0
21,Paper Printing,Flyers - Express Print ,A6 (105 × 148) mm,128gsm gloss,Double Sided ,100,fixed,,R374.00,,0,no,,0
22,Paper Printing,Flyers - Express Print ,A6 (105 × 148) mm,128gsm gloss,Double Sided ,250,fixed,,R488.00,,0,no,,0
23,Paper Printing,Flyers - Express Print ,A6 (105 × 148) mm,128gsm gloss,Double Sided ,500,fixed,,R675.00,,0,no,,0
24,Paper Printing,Flyers - Express Print ,A6 (105 × 148) mm,128gsm gloss,Double Sided ,1000,fixed,,"R1,049.00",,0,no,,0
25,Paper Printing,Flyers - Express Print ,A5 (148 x 210) mm,128gsm gloss,Single sided ,100,fixed,,R363.00,,0,no,,0
26,Paper Printing,Flyers - Express Print ,A5 (148 x 210) mm,128gsm gloss,Single sided ,250,fixed,,R488.00,,0,no,,0
27,Paper Printing,Flyers - Express Print ,A5 (148 x 210) mm,128gsm gloss,Single sided ,500,fixed,,R696.00,,0,no,,0
28,Paper Printing,Flyers - Express Print ,A5 (148 x 210) mm,128gsm gloss,Single sided ,1000,fixed,,"R1,123.00",,0,no,,0
29,Paper Printing,Flyers - Express Print ,A5 (148 x 210) mm,128gsm gloss,Double Sided ,100,fixed,,R446.00,,0,no,,0
30,Paper Printing,Flyers - Express Print ,A5 (148 x 210) mm,128gsm gloss,Double Sided ,250,fixed,,R675.00,,0,no,,0
31,Paper Printing,Flyers - Express Print ,A5 (148 x 210) mm,128gsm gloss,Double Sided ,500,fixed,,"R1,050.00",,0,no,,0
32,Paper Printing,Flyers - Express Print ,A5 (148 x 210) mm,128gsm gloss,Double Sided ,1000,fixed,,"R1,808.00",,0,no,,0
33,Paper Printing,Flyers - Litho 7-10 working days ,A5 (148 x 210) mm,128gsm gloss,Single sided ,5000,fixed,,"R2,950.00",,0,no,,0
34,Paper Printing,Flyers - Litho 7-10 working days ,A5 (148 x 210) mm,128gsm gloss,Single sided ,10000,fixed,,"R4,950.00",,0,no,,0
35,Paper Printing,Flyers - Litho 7-10 working days ,A5 (148 x 210) mm,128gsm gloss,Double Sided ,5000,fixed,,"R3,750.00",,0,no,,0
36,Paper Printing,Flyers - Litho 7-10 working days ,A5 (148 x 210) mm,128gsm gloss,Double Sided ,10000,fixed,,"R5,750.00",,0,no,,0
37,Paper Printing,Flyers - Litho 7-10 working days ,A4 (210 x 297) mm,128gsm gloss,Single sided ,5000,fixed,,"R5,015.00",,0,no,,0
38,Paper Printing,Flyers - Litho 7-10 working days ,A4 (210 x 297) mm,128gsm gloss,Single sided ,10000,fixed,,"R8,915.00",,0,no,,0
39,Paper Printing,Flyers - Litho 7-10 working days ,A4 (210 x 297) mm,128gsm gloss,Double Sided ,5000,fixed,,"R6,375.00",,0,no,,0
40,Paper Printing,Flyers - Litho 7-10 working days ,A4 (210 x 297) mm,128gsm gloss,Double Sided ,10000,fixed,,"R9,975.00",,0,no,,0
41,Paper Printing,Script pads Black and White 100 Pager,A5 (148 x 210) mm,80gsm bond,Single sided ,6,fixed,,R400.00,,120,no,,0
42,Paper Printing,Script pads Black and White 100 Pager,A5 (148 x 210) mm,80gsm bond,Single sided ,10,fixed,,R550.00,,120,no,,0
43,Paper Printing,Script pads Black and White 100 Pager,A5 (148 x 210) mm,80gsm bond,Single sided ,20,fixed,,R800.00,,120,no,,0
44,Paper Printing,Script pads Black and White 100 Pager,A4 (210 x 297) mm,80gsm bond,Single sided ,6,fixed,,R800.00,,120,no,,0
45,Paper Printing,Script pads Black and White 100 Pager,A4 (210 x 297) mm,80gsm bond,Single sided ,10,fixed,,"R1,100.00",,120,no,,0
46,Paper Printing,Script pads Black and White 100 Pager,A4 (210 x 297) mm,80gsm bond,Single sided ,20,fixed,,"R1,600.00",,120,no,,0
47,Paper Printing,Script pads Color 100 Pager,A5 (148 x 210) mm,80gsm bond,Single sided ,6,fixed,,R500.00,,120,no,,0
48,Paper Printing,Script pads Color 100 Pager,A5 (148 x 210) mm,80gsm bond,Single sided ,10,fixed,,R700.00,,120,no,,0
49,Paper Printing,Script pads Color 100 Pager,A5 (148 x 210) mm,80gsm bond,Single sided ,20,fixed,,"R1,150.00",,120,no,,0
50,Paper Printing,Script pads Color 100 Pager,A4 (210 x 297) mm,80gsm bond,Single sided ,6,fixed,,"R1,000.00",,120,no,,0
51,Paper Printing,Script pads Color 100 Pager,A4 (210 x 297) mm,80gsm bond,Single sided ,10,fixed,,"R1,400.00",,120,no,,0
52,Paper Printing,Script pads Color 100 Pager,A4 (210 x 297) mm,80gsm bond,Single sided ,20,fixed,,"R2,300.00",,120,no,,0
53,Paper Printing,Self Carbon Books - Duplicate 100 Leaves ,A5 (148 x 210) mm,58gsm NCR ,Single sided ,6,fixed,,R950.00,,250,no,,0
54,Paper Printing,Self Carbon Books - Duplicate 100 Leaves ,A5 (148 x 210) mm,58gsm NCR ,Single sided ,10,fixed,,"R1,450.00",,250,no,,0
55,Paper Printing,Self Carbon Books - Duplicate 100 Leaves ,A5 (148 x 210) mm,58gsm NCR ,Single sided ,20,fixed,,"R2,150.00",,250,no,,0
56,Paper Printing,Self Carbon Books - Triplicate 50 Leaves ,A5 (148 x 210) mm,58gsm NCR ,Single sided ,6,fixed,,R950.00,,250,no,,0
57,Paper Printing,Self Carbon Books - Triplicate 50 Leaves ,A5 (148 x 210) mm,58gsm NCR ,Single sided ,10,fixed,,"R1,450.00",,250,no,,0
58,Paper Printing,Self Carbon Books - Triplicate 50 Leaves ,A5 (148 x 210) mm,58gsm NCR ,Single sided ,20,fixed,,"R2,150.00",,250,no,,0
59,Paper Printing,Self Carbon Books - Quadruplicate  50 Leaves ,A5 (148 x 210) mm,58gsm NCR ,Single sided ,6,fixed,,"R1,550.00",,250,no,,0
60,Paper Printing,Self Carbon Books - Quadruplicate  50 Leaves ,A5 (148 x 210) mm,58gsm NCR ,Single sided ,10,fixed,,"R2,550.00",,250,no,,0
61,Paper Printing,Self Carbon Books - Quadruplicate  50 Leaves ,A5 (148 x 210) mm,58gsm NCR ,Single sided ,20,fixed,,"R4,800.00",,250,no,,0
62,Paper Printing,Self Carbon Books - Duplicate 100 Leaves ,A4 (210 x 297) mm,58gsm NCR ,Single sided ,5,fixed,,"R1,350.00",,250,no,,0
63,Paper Printing,Self Carbon Books - Duplicate 100 Leaves ,A4 (210 x 297) mm,58gsm NCR ,Single sided ,10,fixed,,"R2,350.00",,250,no,,0
64,Paper Printing,Self Carbon Books - Duplicate 100 Leaves ,A4 (210 x 297) mm,58gsm NCR ,Single sided ,20,fixed,,"R4,400.00",,250,no,,0
65,Paper Printing,Self Carbon Books - Triplicate 50 Leaves ,A4 (210 x 297) mm,58gsm NCR ,Single sided ,5,fixed,,"R1,350.00",,250,no,,0
66,Paper Printing,Self Carbon Books - Triplicate 50 Leaves ,A4 (210 x 297) mm,58gsm NCR ,Single sided ,10,fixed,,"R2,350.00",,250,no,,0
67,Paper Printing,Self Carbon Books - Triplicate 50 Leaves ,A4 (210 x 297) mm,58gsm NCR ,Single sided ,20,fixed,,"R4,400.00",,250,no,,0
68,Paper Printing,Self Carbon Books - Quadruplicate  50 Leaves ,A4 (210 x 297) mm,58gsm NCR ,Single sided ,5,fixed,,"R1,550.00",,250,no,,0
